category,sub_category,title,price,description,brand,sku,dimensions,image_url
Bedroom,Beds,Arket Engraved Headboard Bed,"55,700 EGP",A wooden bed with a headboard carved with stunning geometric and oriental designs. Available in various wood finish colors to suit your taste.,Caravanserai,CaBeAr6471,On Selection,https://dkq2tfmdsh9ss.cloudfront.net/product-variations/pqZa4g1fVNzBaqZyIzby7jsMfleF1ytyrpXkBH8p.webp
Bedroom,Beds,Artistic Wooden Bed with Curved Intricate Headboard,"74,915 EGP",A wooden bed featuring a unique curved headboard. A sturdy wooden frame for durability.,Alcazar,AlBeBe15403,171.7 X 205 X 144.5,https://dkq2tfmdsh9ss.cloudfront.net/products/RARD2tgxqrwGhojIQK8rqGvlW0iQVigXtV7jGDZN.jpg
Bedroom,Beds,Arvin Cane Detached Headboard Wooden Bed,"35,500 EGP",,Essentials,EsBeAr14141,On Selection,https://dkq2tfmdsh9ss.cloudfront.net/products/Xvu3J5PenrS69hzjRqQYiPcrJxFIvlf2Ss7kcZzp.jpg
Bedroom,Beds,Aurora Bed With Upholstered Curved Headboard And Cladding Beige,"46,266 EGP",An upholstered bed with a curved headboard and elegant cladding. Crafted from durable materials to ensure long-lasting use and available in multiple sizes to fit your room's space.,Pinocchio,PiBeAu19560,For cladding W 334 x D 5 x H 92 cm \ For bed W 190 × D 229 × H 106 cm.,https://dkq2tfmdsh9ss.cloudfront.net/products/zWAWhcQlClF6JuYrBx21tcRykbdWekbydS6UXT5d.jpg
Bedroom,Beds,Aurora Bed With Upholstered Curved Headboard Beige,"28,548 EGP",An upholstered bed with a curved headboard and elegant detailing. Crafted from durable materials to ensure long-lasting use and available in multiple sizes to fit your room's space.,Pinocchio,PiBeAu20473,Headboard 190  Bed 180 x 200 cm,https://dkq2tfmdsh9ss.cloudfront.net/products/MhUepX7cocQg7sisxZmNlM9fyRjZfxmFAaNqRPPx.png
Bedroom,Beds,Aurora luxury Bed,"12,010 EGP","The frame showcases clean lines and a low-profile silhouette, enhancing the sense of spaciousness in your bedroom. Sturdy construction ensures durability, while the enveloping upholstery of the massive wood provides a comfortable place to lean back as you unwind with a book or enjoy your morning coffee in bed. The bed is also fitted with a solid platform base, supporting your mattress without the need for a box spring. Available in several sizes.",Plume,PlBeAi,On selection,https://dkq2tfmdsh9ss.cloudfront.net/products/gRFj4UAZUbusclgYICPWnAQMQUtJYnMls3QWr9VD.jpg
Bedroom,Beds,Bark Bed With Natural Grain Headboard,"52,000 EGP",A wooden bed featuring a distinctive headboard with natural patterns and a simple design. The sturdy wooden frame ensures long-lasting durability.,Customized Products,EsBeBa24877,W 160 x D 200 x H 120 cm,https://dkq2tfmdsh9ss.cloudfront.net/products/neyAiXH5iB4WpdbiNDsdoiZkO1Ti4lp7hGYLitoR.png
Bedroom,Beds,Basic Upholstered Bed,"20,508 EGP",This bed is the easiest way to create an elegant and simple look to your bedroom. The headboard can be upholstered in any fabric to suit your needs. You can create a contemporary and a modern look in your bedroom with this basic upholstered bed.,Customized Products,CuBeBa5781,W 90 x L 200 cm,https://dkq2tfmdsh9ss.cloudfront.net/products/SVQd9RGrGOJJU1ajMQZQONOJydpTWvFutyx9sFk3.png
Bedroom,Beds,Bed back Keel,"41,000 EGP","On one of our many walks in Old Cairo, we were inspired by the Keel arches dotting the architecture and wanted to reproduce the sweeping lines in a high headboard…showcasing our fabrics as well as creating a statement piece for bedrooms.  You can select your own fabric of choice or select from the fabric selection available in our show office or website. The fabric selected needs to be suitable for upholstery.   Fabric needed: 5 meter. Fabric is not included in the price.",Jam by Hedayat,JaBeBe14322,Large : 180 cm W x 140 cm H,https://dkq2tfmdsh9ss.cloudfront.net/products/2HPiV0LvGXtTauiMcey6VL8YhUs8sk9yRETGFA71.jpg
Bedroom,Beds,Bed Base - Upholstered - Dense Foam,"8,644 EGP","This bed base luxuriously provides quality support while reading, conversing, and relaxing . Covered in dense foam and fiber, this padded bed base offers supportive comfort. Comes in a variety of colors to choose what matches your style.",Masterbed,MaBeSi21989,On Selection,https://dkq2tfmdsh9ss.cloudfront.net/products/5vgcfp2DkKoP96t6uQYQBmW1v6SM7iGrfQ11jC1j.png
Bedroom,Beds,Bed mechanism 180 cm,"6,130 EGP",Bed Mechanism with wood slats.,Customized Products,CuBeBe15467,180 x 200 cm,https://dkq2tfmdsh9ss.cloudfront.net/products/4JvlJ1L0cfNo73eGpOSe5n2MHiua4sy2p6ni7Wwx.jpg
Bedroom,Beds,Beech Bunk Bed with Pullout Bed,"49,724 EGP",,Customized Products,CuBeBe6393,W 120 x L 200 x H 205 cm,https://dkq2tfmdsh9ss.cloudfront.net/products/BmNQLz8fgCzvMMCIzDUzDHDD0YJaqPb7GJ65kiNh.png
Bedroom,Beds,Beech Bunk Bed With Vertical Rails And Pull-Out Bed,"53,991 EGP",,Essentials,EsBeBu6792,On Selection,https://dkq2tfmdsh9ss.cloudfront.net/products/e0H7NKwDySFOgUJqeQpgU17tffGVQqZZgj1B9mjs.jpg
Bedroom,Beds,Bell Elegant Upholstered Bed With Curved Headboard,"49,017 EGP",,Essentials,EsBeBe9810,On Selection,https://dkq2tfmdsh9ss.cloudfront.net/products/HMeVx7gPiYN0bUMBTcNILyatHq0PP7m8Tu8KEy1F.png
Bedroom,Beds,Bliss Upholstered Bed with Cushioned Backrest and Wooden Legs,"25,240 EGP","Transform your bedroom into a haven of comfort and style with this modern upholstered bed. Featuring a sleek low-profile design, cushioned backrest, and elegant wooden legs, this bed effortlessly combines sophistication and functionality. Its neutral fabric finish adds warmth to any decor, making it the perfect addition to contemporary or minimalist interiors.",Ariika Home,ArBeBl9843,On Selection,https://dkq2tfmdsh9ss.cloudfront.net/products/SzzMaHKf8R70W8s8syJOOjRvjb054xyLszMs03RC.jpg
Bedroom,Beds,Breeze Elegant Rattan-Accented Upholstered Bed,"35,640 EGP","Enhance your bedroom with this sophisticated upholstered bed featuring natural rattan accents and a solid wooden frame. The unique combination of textures creates a warm and inviting atmosphere, blending perfectly with both contemporary and classic decor styles. The headboard and footboard are adorned with finely woven rattan details, making it a standout centerpiece for your room.",Alcazar,AlBeBr628,W 180 x D 195 cm,https://dkq2tfmdsh9ss.cloudfront.net/products/GmRjP7WieLueyj9TVF1x1pHsniMJYEYdlkmLnTWU.jpeg
Bedroom,Beds,Bristol Elegant Upholstered Bed with Minimalist Design,"46,038 EGP","Transform your bedroom into a serene retreat with Bristol elegant upholstered bed. Featuring a low-profile design and soft curves, it blends effortlessly into both modern and bohemian decor. The padded frame, made with a natural wood structure covered in upholstered polyurethane foam, offers added comfort and durability. Supported by sleek beech wood legs, this bed is the perfect combination of style and functionality.",C Reality,C BeBR22790,On Selection,https://dkq2tfmdsh9ss.cloudfront.net/products/79WD4imSiJ8MVuMvWIEyIIgb1khlyRHggResFkrM.jpg
Bedroom,Beds,Bubbles Contemporary Upholstered Bed,"34,596 EGP","Introducing our elegant and modern Bubbles bed, meticulously crafted for the ultimate in comfort and style. This bed features a sleek, low-profile design with a broad, gently curved beech wood headboard that exudes sophistication. The mattress is expertly sunken into the frame, creating a seamless look while providing exceptional support and comfort.",KENDA,KEBeBu23503,W 200 x L 220 x H 110 cm,https://dkq2tfmdsh9ss.cloudfront.net/products/wVxnIJUtvlZO8G3Gm2ts5mHwVDJSBZEXAEiXsM32.webp
Bedroom,Beds,Bunk Bed With 2 Drawers - Back Shelf and Ladder,"89,000 EGP",,Essentials,EsBe1426512,W 140 x L 270 x H 210 cm,https://dkq2tfmdsh9ss.cloudfront.net/products/8pcW2uJHzy7fbjE81slE63N1qxGg9dKvsdGIVnkn.jpg
Bedroom,Beds,Cane bed and headboard - Large.,"53,750 EGP","Wood & woven straw, made of oak and cane. The Cane bed and headboard are made from natural wood, finished with a colourless varnish to protect the wood.",Jam by Hedayat,JaBeCa2588,Large: 180 (W) x 200 (D) x 160 (H) cm.,https://dkq2tfmdsh9ss.cloudfront.net/products/nCWQzAsKk3m6oKyGn3AFiTMHCMwt9VGcD6h8Vak0.jpg
Bedroom,Beds,Cane bed and headboard - Medium,"47,800 EGP","Wood & woven straw, made of oak and cane. The Cane bed and headboard are made from natural wood, finished with a colourless varnish to protect the wood.",Jam by Hedayat,JaBeCa13646,Medium: 160 (W) x 200 (D) x 160 (H) cm.,https://dkq2tfmdsh9ss.cloudfront.net/products/ufhrhnvu4tfk4gYJ7hJU5wCwgehMdjMaGcQ7RrKA.png
Bedroom,Beds,Canvas Beech Wood Bed with Upholstered Headboard,"34,741 EGP",,Essentials,EsBeCa,On Selection,https://dkq2tfmdsh9ss.cloudfront.net/products/Hac3oSUh930U5L1Mn4JWOLG1LDG6GJZLp9Lp983l.png
Bedroom,Beds,Carved Bed with Upholstered Panels Integrated Storage,"79,300 EGP","Indulge in the luxury of this beautifully upholstered bed, designed with exquisite attention to detail and integrated storage solutions. The upholstered headboard, adorned with intricate paneling and subtle metallic accents, offers both comfort and style, enhancing any bedroom aesthetic. Below, woven rattan baskets provide ample storage, seamlessly blending functionality with elegance. This bed's neutral color palette and sophisticated design make it an ideal centerpiece for a contemporary classic bedroom.",Caravanserai,CaBeCa10106,W 180 cm,https://dkq2tfmdsh9ss.cloudfront.net/products/SEirqbq5wMiQ7vFetYf0Pv0JroIZu2ghC9H4J5g6.jpg
Bedroom,Beds,Casper bed-Hippo179,"22,324 EGP"," High-quality natural Wood, Linen/Velvet. A stylish bed designed with comfort in mind.",Hippo,HiBeCa26291,207 x 1 x 56 x 254,https://dkq2tfmdsh9ss.cloudfront.net/products/QMUhPeHQLje8yhAma2kEG3N50sHLntyXQgviqT75.jpg
Bedroom,Beds,Casper Light Bed-Hippo171,"21,394 EGP"," High-quality natural Wood, Linen/Velvet. Lightweight design that doesn’t compromise on style.",Hippo,HiBeCa26290,191 x 1 x 56 x 232,https://dkq2tfmdsh9ss.cloudfront.net/products/IAFbpKsapByf1LjmTd0kdvosYATjcTLXhzeT6E4i.jpg
Bedroom,Beds,Celine  Fully upholstered Bed,"25,371 EGP","Introduce timeless elegance to your bedroom with the Celine bed, a classic upholstered piece complemented by sturdy wooden legs. Available in a variety of colors, this bed allows you to customize your space to reflect your personal style. Wrapped in high-quality fabric, the Celine bed offers a sophisticated look and a soft, comfortable texture. Its durable construction ensures long-lasting support and a serene night's sleep.",Heru,HeBeCe12760,On selection,https://dkq2tfmdsh9ss.cloudfront.net/products/3zsN2mFyXT4Gk4mnpskJGDg2srflVWnL2SYCqAjX.png
Bedroom,Beds,Celine Bed 180 cm  Fully upholstered,"27,431 EGP","The Celine bed is designed to tick all the marks for a convenient basic bed, easily fitting in with most styles and tastes. Fully upholstered for your comfort.",Heru,HeBeCe14242,Bed dimensions : W 180 W x L 200 x H 30 cm Headboard dimensions : W 180 x L 100 x TH 17 cm,https://dkq2tfmdsh9ss.cloudfront.net/products/079nlpjYwkcbUaWfNl7lfJoH71PJlzFnSUQstIU0.jpg
Bedroom,Beds,Cherine Fully Upholstered Bed,"35,000 EGP",,Bastet,BaBeCh28878,W 260 x L 200 cm,https://dkq2tfmdsh9ss.cloudfront.net/product-variations/9U9tn9ZJ1Qa7sKHVg17GXxCKOiedWxIqA45eb0No.webp
Bedroom,Beds,Chevron Bed  (100 cm),"21,392 EGP",,Customized Products,CuBeCh5876,W 100 x D 200 cm,https://dkq2tfmdsh9ss.cloudfront.net/products/MG7dcmBIGdPDGQKFJJA4Yqa2i7gqhxHRAV3WJfzR.jpg
Bedroom,Beds,Chevron Bed (120 cm),"22,100 EGP",,Customized Products,CuBeCh8169,W 120 x D 200 cm,https://dkq2tfmdsh9ss.cloudfront.net/products/wgE3ogs6VEY2HhqZMQAcDQM8PsUEMq8xPQ9THPXk.jpg
Bedroom,Beds,Chevron Bed With Storage Drawers,"47,973 EGP",,Essentials,EsBeCh17013,W 180 x D 200 x H 120 cm,https://dkq2tfmdsh9ss.cloudfront.net/products/xlL6wjgeOidIxRk8pp7gcYLVbw0Y7WZFSs20AtY4.jpg
Bedroom,Beds,Chevron Wooden Bed With Modern Headboard,"27,550 EGP",,Essentials,EsBeCh22754,On Selection,https://dkq2tfmdsh9ss.cloudfront.net/products/jpIQFiuRNWDPDqpIRWiLl71jcPKv49N8Yg7RsZbO.jpg
Bedroom,Beds,Cilla Cane Bed,"62,000 EGP","Material: Massive Yugoslavian Oak and Cane.  Sleep soundly in Cilla's beautiful bed made from massive oak wood and hand-made cane. Its comfortable design will keep you well-rested, night after night. Make each day start off right with Cilla!",Tekton,TeBeCi2782,W 190 x D 210 x H 138 cm,https://dkq2tfmdsh9ss.cloudfront.net/product-variations/dIqAy2Bu0venjwDuTelOCMUREhG8kdUMWIjgJwcX.png
Bedroom,Beds,Cleo Bed With Curved Headboard and Appliques,"43,569 EGP","Elevate your bedroom decor with this luxurious curved bed, blending pine and oak wood with exquisite upholstery. The bed features a unique, curved headboard adorned with two wooden appliques, enhancing its modern appeal. Wrapped in high-quality, textured grey fabric, this bed supports a 180cm mattress, offering ample space for a comfortable night's sleep.",KENDA,KEBeCl24286,L 320 X W 210 X H 120,https://dkq2tfmdsh9ss.cloudfront.net/products/4MhIM5L2zXi01P2zeMlzoBAwGedDvyZIrdAqOq1j.jpg
Bedroom,Beds,Connie Low Back Upholstered Bed,"29,204 EGP","Connie low-back upholstered bed combines sleek style and versatility. Its elegant curved silhouette adds subtle charm, fitting seamlessly into modern and traditional interiors. The low-profile headboard is ideal for smaller spaces, creating a spacious feel while offering comfortable support.",Customized Products,EsBeCo,On Selection,https://dkq2tfmdsh9ss.cloudfront.net/products/VdE6nj2Uv3t9YCHfrOjgJ8oRtTbwMKnSuHzEfmr0.jpg
Bedroom,Beds,Cordoba Bed,"18,368 EGP",An high quality upholstered bed with a sturdy wooden frame to ensure ultimate comfort and long lasting use.,Pinocchio,PiBeCo19623,On selection,https://dkq2tfmdsh9ss.cloudfront.net/products/r8khrsyqzbTKwBSp91WIRnu9L26PAmVqAHX5TuLZ.jpg
Bedroom,Beds,Cut-Out King Bed and Wooden Bed Base,"49,000 EGP",Build The Perfect Bedroom It’s all in the details with Geometrical Cutout Headboard.,Eklego,EkBeCu12277,W 180 x D 205 x H 30/110 cm,https://dkq2tfmdsh9ss.cloudfront.net/products/louiP77iSnkARumyFbvy68pONiKlnmDkkquAx0sL.jpg
Bedroom,Beds,Dan Bed With Upholstered Headboard,"50,246 EGP","Refresh your bedroom with our stylish, modern bed featuring a unique upholstered headboard, available in a variety of fabrics and colors. Tailor the look to match your decor with customizable options that allow you to choose the perfect combination to fit your style. The contrasting colors add a contemporary flair, while the high-quality materials ensure both comfort and durability.",Customized Products,EsBeDa,On Selection,https://dkq2tfmdsh9ss.cloudfront.net/products/Ky36ad21yLFqrDhFrF1Zx9VcXAZCwbq7BC97Dfyz.jpg
Bedroom,Beds,Demi Bed,"26,366 EGP",,Customized Products,CuBeDe11542,W 100 x D 200 cm,https://dkq2tfmdsh9ss.cloudfront.net/products/TViaX2RrRAiFyPsz4BXBnTqfJ5gHaSygkWB5Nmfe.jpg
Bedroom,Beds,Deva Rattan Bed,"19,040 EGP",,Surur,SuBeDe31710,L 210 x W 170 x H 110 cm,https://dkq2tfmdsh9ss.cloudfront.net/products/YtOGiwmxYCcOVcsyyFJnHNIH6EO2rB0oCxSBJgbs.jpg
Bedroom,Beds,Doba Bed Fully Upholstered 180,"28,548 EGP","Elevate your bedroom with this contemporary plush bed, beautifully upholstered in a high-quality fabric that adds a touch of elegance and warmth. The smooth, rounded headboard offers both aesthetic appeal and comfort, making it an ideal backdrop for nighttime relaxation. Its subtle green hue complements the modern and minimalist decor, integrating seamlessly into any interior style.",Pinocchio,PiBeDo20961,W 202 X D 214 X H 119 cm,https://dkq2tfmdsh9ss.cloudfront.net/products/jPK7S1x2fArkgtL9RtkImFy1OyQJCBdsw0me4oJn.webp
Bedroom,Beds,Dolly Bed Upholstered Multi-Tonal Sleek Curved Design,"48,800 EGP","Step into luxury with Dolly bed, showcasing a multi-tonal upholstered headboard and a sleek curved design that brings sophistication to any modern bedroom. The headboard features varying shades of taupe, enhancing its visual depth and creating a warm, inviting atmosphere. Crafted with precision, the smooth, rounded edges of the bed frame echo contemporary elegance, while the sturdy construction ensures lasting quality and comfort.",Esque,EsBeDo21477,L 180 X D 200 X H 115,https://dkq2tfmdsh9ss.cloudfront.net/products/3PUkVVUcuLS9tIBmeLNjV0X9ljXaBDsyxlnW9PSV.png
Bedroom,Beds,Echo Bed With Plain Arched Upholstered Headboard,"39,660 EGP",,Essentials,EsBeEc16130,W 180 x L 200 x H 125 cm,https://dkq2tfmdsh9ss.cloudfront.net/products/z0M8GcpZlB14lry5fifqAcSIw0hoGCK0LSTW43MS.webp
Bedroom,Beds,Echo Bed With Upholstered Headboard,"30,459 EGP",,Essentials,EsBeEc,On Selection,https://dkq2tfmdsh9ss.cloudfront.net/products/0GeS9LVVoHEkSFybZGy4GoCGEl8w0Q2oQoQD8aQB.png
Bedroom,Beds,Elena Bed Fully Upholstered 160cm,"23,620 EGP","Get expert help to create your dream interior. Designing with us is easier, faster, and more affordable.",Pinocchio,PiBeEl19625,W 172 X D 223 X H 100 cm,https://dkq2tfmdsh9ss.cloudfront.net/products/RwNNsIjnK5oCfKdL8tuhLixJqExI073HThWWvNCg.jpg
Bedroom,Beds,Elena Bed Fully Upholstered 180cm,"25,148 EGP",Elena Bed 180,Pinocchio,PiBeEl19573,W 192 * D 223 * H 100 cm,https://dkq2tfmdsh9ss.cloudfront.net/products/T5IVMT1e71End5kT54sstbAps8kTp8zbNEugFJc3.jpg
Bedroom,Beds,Eliana Shades Fully Upholstered Bed,"31,178 EGP","Transform your sleeping sanctuary with our chic wooden upholstered bed: a creation that fuses style with functionality. This bed showcases a robust wooden frame which supports a plush headboard, offering not only comfort but also an air of elegance.",Heru,HeBeEl16125,Bed dimensions : W 160 x L 207 x H 30 cm Headboard dimensions : W 160 x H 120 x TH 7 cm,https://dkq2tfmdsh9ss.cloudfront.net/products/A2qoMPKhSDr1vhGEXYl5FN21siimcasTaSODqV6W.png
Bedroom,Beds,Elin Bed,"23,680 EGP",Elin Bed is a Comfy and Perfect Design for your Bedroom. Crafted from high-quality natural wood and linen Koya fabric. It measures L 217 x W 200 x H 110 cm and fit mattress of dimensions: 180 X 200 cm.,Hippo,HiBeEl28477,L 217 x W 200 x H 110 cm,https://dkq2tfmdsh9ss.cloudfront.net/products/CtTcbopZfRuiiP7makKLGKSDvWGj1QjWxAEum4vQ.jpg
Bedroom,Beds,Elin Natural Wood Bed - Hippo 5,"18,139 EGP",,Hippo,HiBeEl26394,On Selection,https://dkq2tfmdsh9ss.cloudfront.net/products/kvkMLOvGd5mGAM5wdcMjGFKH0j97fzUeCyMG8Hhf.jpg
Bedroom,Beds,Eterna Full Bed Set with Integrated Night Tables,"54,720 EGP",,Hoopoe Design,HoBeFu32028,Headboard W 300 x H 120 cm  Bed base W 180 x L 200 cm,https://dkq2tfmdsh9ss.cloudfront.net/products/7r4nGNErTWnfTk26XbVu8Y3nQEwCbrMh2iNyoqPa.jpg
Bedroom,Beds,Extended headboard with nightstands,"50,386 EGP",,Customized Products,CuBeEx5272,Bed  W 1.8  x L 2 m - Headboard   W 3.92 x H 1 m - Night stand W 1.06 x D 0.4 m,https://dkq2tfmdsh9ss.cloudfront.net/products/Z8bxLLpjBZ4sbSsy7AGoMuNl6qFBR2XbUoypTsB5.png
Bedroom,Beds,Extended Vertical Panel Headboard with 2 Single Beds,,"Enhance your bedroom with this sleek modern bed, featuring a split upholstered headboard in different colors to match your own style.  The unique headboard design offers a contemporary aesthetic with its clean lines and subtle division, providing a striking focal point. The bed's frame includes a beautiful oak wood base, also comes in different finishes, adding a touch of natural warmth to the modern design.",Customized Products,EsBeEx,W 310 x L 200 x H 110 cm  Single bed dimensions  : W 100 x L 200 cm,https://dkq2tfmdsh9ss.cloudfront.net/products/QtxnzlkaFfZe9bO0YjOob7A1oLg1i6k8MXJSWV45.jpg
Bedroom,Beds,Fez Bed With Fixed Upholstered Headboard,"18,217 EGP","This beautifully crafted wooden bed frame combines sleek, minimalist design with warmth of natural wood. The headboard features vertical slats, 2 cushions and sturdy wooden build, making it a perfect centerpiece for any bedroom. With its neutral tones, this bed frame seamlessly blends with any decor style: adding a touch of elegance and simplicity. Its robust structure ensures a long-lasting support for restful night's sleep, while the headboard's flat pillows provide a comfortable backrest for reading or watching TV in bed.",Heru,HeBeFe24459,On Selection,https://dkq2tfmdsh9ss.cloudfront.net/products/3TE9TOlSkMbBCu7LczpZFnusI4PvEd724L9BF3Ni.jpg
Bedroom,Beds,Fez Bed With Fixed Upholstered Headboard 180,"26,803 EGP","This beautifully crafted wooden bed frame combines sleek, minimalist design with warmth of natural wood. The headboard features vertical slats, 2 cushions and sturdy wooden build, making it a perfect centerpiece for any bedroom. With its neutral tones, this bed frame seamlessly blends with any decor style: adding a touch of elegance and simplicity. Its robust structure ensures a long-lasting support for restful night's sleep, while the headboard's flat pillows provide a comfortable backrest for reading or watching TV in bed.",Heru,EsBeFe7711,W 180 x D 200 x H 110 cm,https://dkq2tfmdsh9ss.cloudfront.net/products/wNfKPK9uY05Y4Q3hJkISRSsMCBBQzNFgnNQS5ZEr.jpg
Bedroom,Beds,Flora Pattern Upholstered Headboard and Wooden Bed,"49,400 EGP","Discover the charm and elegance of this beautifully crafted bed, featuring a headboard adorned with a subtle floral pattern. The intricate flora design adds a touch of sophistication and tranquility to any bedroom, making it a perfect sanctuary. Made from high-quality wood, this bed provides a sturdy base, ensuring durability and comfort. The natural wood finish, which comes in a variety of colors, complements the floral pattern, creating a serene and inviting atmosphere. Ideal for those who appreciate fine craftsmanship and a touch of nature in their decor.",Caravanserai,CaBeUp7995,W 180xD 200 cm,https://dkq2tfmdsh9ss.cloudfront.net/products/WPeBmMY4yxRLDsPgDfb28r3sigRAki0knQWNvHeS.jpg
Bedroom,Beds,Genuine Leather cushions headboard bed,"34,500 EGP","Elevate your sleeping space with this minimalist bed, showcasing a sleek design enhanced by genuine leather cushions for a touch of refined luxury. The bed features a simple headboard and a streamlined structure, ideal for those who appreciate understated elegance.",Snug,SnBeGe5337,W 180 x D 200 cm,https://dkq2tfmdsh9ss.cloudfront.net/products/TrVNKHkHjg9OBTjAcZbifLYAKFiRd2AtyRHXJKvG.jpg
Bedroom,Beds,Grace Full Upholstered Bed 180 cm,"48,000 EGP","The Grace Bed, curvy, elegant and inviting. This fabric is high quality velvet that complements the soft and sensual curves. It can be customized with your own choice of fabric. Price excludes fabric.",Spring Project,SpBeGr12327,W 180 cm,https://dkq2tfmdsh9ss.cloudfront.net/products/YmmcoDLpbzz0oiZVPVfZtlfYFW6zPZ0DbI09fKd8.jpg
Bedroom,Beds,Gracie Full Upholstered Bed - Hippo 1,"21,162 EGP",,Hippo,HiBeGR26398,W 185 x H 105 x L 230 cm,https://dkq2tfmdsh9ss.cloudfront.net/products/YA0xUHhxGk0OZDr6G92Q4t9Q5MVsWp93Pt6BYpkl.jpg
Bedroom,Beds,Granada Bed With Patterned Headboard,"14,631 EGP","Add a touch of contemporary charm to your bedroom with Granada designed bed, featuring a unique patterned headboard that brings both comfort and aesthetic appeal. The soft color palette and the intricate pattern blend seamlessly with any modern decor, creating a relaxing and inviting atmosphere.",Pinocchio,PiBeGr19574,W 112 × D 208 × H 101 cm.,https://dkq2tfmdsh9ss.cloudfront.net/products/WH213vzUaZHUaJYyYVIUKPtJl9KcKhRAcxtwBw1f.jpg
Bedroom,Beds,Hamburg Bed With Padded Headboard,"48,452 EGP","Introduce sophisticated style to your bedroom with the Hamburg bed frame, featuring rich natural wood and soft padded headboard for comfort and luxury. Upholstered in smooth polyurethane foam and high-quality fabric, the headboard provides a perfect spot for reading or watching TV. The sturdy wooden legs support the frame and mattress reliably, creating a restful sleep oasis night after night.",C Reality,C BeHA18237,Bed dimensions : W 346 x L 218 x H 107 cm,https://dkq2tfmdsh9ss.cloudfront.net/products/CizQSsLBPiZZZeYUxeFpw85sS28NqO2eFknkzCwH.png
